"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","test_get_token","tests.api.test_api","2026-07-10","passed","2026-07-10","","test_get_token","",""
"","153","test_verify_dashboard_overview[chromium]","tests.ui.dashboard","2026-07-10","passed","2026-07-10","","test_dashboard_overview","",""
"","930","test_edit_booking","tests.api.test_api","2026-07-10","passed","2026-07-10","","test_edit_booking","",""
"","12","test_verify_dashboard_page[chromium]","tests.ui.login","2026-07-10","passed","2026-07-10","","test_login","",""
"","1250","test_delete_booking","tests.api.test_api","2026-07-10","passed","2026-07-10","","test_delete_booking","",""
"","4325","test_get_all_bookings","tests.api.test_api","2026-07-10","passed","2026-07-10","","test_get_all_booking","",""
"","313","test_create_booking","tests.api.test_api","2026-07-10","passed","2026-07-10","","test_create_booking","",""
